,symbols,base_currency,quote_currency
0,CELO-USD,CELO,USD
1,LINK-USD,LINK,USD
2,DOGE-USD,DOGE,USD
3,1INCH-USD,1INCH,USD
4,XMR-USD,XMR,USD
5,FIL-USD,FIL,USD
6,ETH-USD,ETH,USD
7,AAVE-USD,AAVE,USD
8,ATOM-USD,ATOM,USD
9,MKR-USD,MKR,USD
10,EOS-USD,EOS,USD
11,COMP-USD,COMP,USD
12,ALGO-USD,ALGO,USD
13,XTZ-USD,XTZ,USD
14,UNI-USD,UNI,USD
15,ADA-USD,ADA,USD
16,ZRX-USD,ZRX,USD
17,YFI-USD,YFI,USD
18,MATIC-USD,MATIC,USD
19,ETC-USD,ETC,USD
20,AVAX-USD,AVAX,USD
21,LTC-USD,LTC,USD
22,ENJ-USD,ENJ,USD
23,DOT-USD,DOT,USD
24,SNX-USD,SNX,USD
25,RUNE-USD,RUNE,USD
26,XLM-USD,XLM,USD
27,BCH-USD,BCH,USD
28,TRX-USD,TRX,USD
29,BTC-USD,BTC,USD
30,UMA-USD,UMA,USD
31,NEAR-USD,NEAR,USD
32,ZEC-USD,ZEC,USD
33,SOL-USD,SOL,USD
34,SUSHI-USD,SUSHI,USD
35,ICP-USD,ICP,USD
36,CRV-USD,CRV,USD
